drift_group,start_date,end_date,duration_days,mean_difference,max_difference,num_points
113.0,2011-03-17 09:18:00,2011-03-17 09:18:00,0.0,12.0,12.0,1
214.0,2016-04-05 10:43:00,2016-04-05 10:43:00,0.0,66.0,66.0,1
218.0,2016-06-02 08:50:00,2016-06-02 08:50:00,0.0,11.0,11.0,1
224.0,2016-09-16 12:22:00,2016-09-16 12:22:00,0.0,14.0,14.0,1
245.0,2018-01-26 10:16:00,2018-01-26 10:16:00,0.0,12.700000000000045,12.700000000000045,1
246.0,2018-02-23 13:05:00,2018-02-23 13:05:00,0.0,13.670000000000073,13.670000000000073,1
294.0,2020-10-27 13:42:00,2021-01-05 09:29:00,69.82430555555555,21.688333333333315,23.86999999999989,6
295.0,2021-02-04 12:12:00,2021-02-25 09:57:00,20.90625,15.080000000000041,15.740000000000009,2
296.0,2021-03-16 10:42:00,2021-11-29 13:13:00,258.1048611111111,16.017500000000005,23.450000000000045,20
351.0,2024-02-23 10:30:00,2024-02-23 10:30:00,0.0,12.420000000000073,12.420000000000073,1
352.0,2024-05-16 10:42:00,2024-05-29 12:30:00,13.075,12.850000000000023,14.0,2
354.0,2024-08-19 13:52:00,2024-11-20 14:06:00,93.00972222222222,19.5,26.0,4
